title,content
"《大陸股市》三大指數齊漲逾2% 有色金屬掀漲停潮",【時報-台北電】A股三大指數今日開高收高，齊漲逾2%。A股今日晨盤由銀行股打前鋒，上半場滬深指數雙雙漲逾1.5%、創業板指漲2.6%，午後空方一度蠢動，多空陷入激戰，尾盤科技股交投升溫，有色類股持續走高，券商股一度拉升，終場上證指數報3436.83點，上漲2.36%；深證成指報13866.37點，上漲2.23%；創業板指報2746.58點，上漲2.61%。盤面上，有色金屬類股掀起一波漲停潮，共計17家公司漲停；鋼鐵、建材類股多檔亮燈；電氣設備、食品飲料類股也有不錯的漲幅表現。統計北向資金合計淨流入67.19億元。其中，滬股通淨流入37.81億元、深股通淨流入29.38億元，北向資金已連續3日淨流入，淨流入額分別為24.32億元，52.25億元，67.19億元，合計143.76億元。(編輯整理：李慧蘭)
"《光電股》先進光連飆第6根漲停 惟特定賣盤利多出貨","【時報-台北電】先進光（3362）與大立光（3008）就專利等訴訟達成和解，且「冤家變親家」，大立光將入股先進光私募成為股東，先進光股價也因而「麻雀變鳳凰」，股價一飛沖天，今（12）日連飆第6根漲停、抵67.5元，創2008年7月23日來新高；不過，從主力券商進出來看，近5個交易日元大-竹科已賣超2,292張，占比近5％，顯示有特定賣盤趁利多出貨。法人表示，先進光去年前三季每股仍虧損0.33元，與大立光的訴訟警報解除，且來來還有大立光入股15.2％持股加持，有助未來業務及股權合作，然而短線股價飆漲了超過七成，要留意短線追高的風險。（新聞來源：工商即時 呂淑美）"
"《半導體》全年拉市占、營收拚增兩位數 揚智奔漲停",【時報記者王逸芯台北報導】揚智(3041)今年看好機上盒、智能家電以及AIOT等三大產品市占率提升，目前訂單狀況樂觀，反映供應鏈成本提高，揚智也預計自第二季起調漲價格，預估揚智今年營收可望力拚年增兩位數，今股價反映轉機題材，早盤一舉衝上漲停價格30.65元鎖住。揚智表示，目前市場需求看到的市場需求很強勁，今年的成長主要取於自身市占率的提高，只是晶片製造的供應鏈非常緊張，以目前供應鏈的情況，晶圓代工可見度到第二季，封測到第三季，對揚智來說，晶片供應到第二季都很明朗，第三季還在爭取中，此外，因應供應鏈的漲價，揚智也預計自第二季起調漲價格。揚智主要產品機上盒，今年因看好在全球市占率持續提升，成長動能強勁，揚智機上盒去年有一項新產品表現不俗，在印度、非洲、歐洲等地都有不錯的成績，看好明年在南美也有很大成長空間。除機上盒穩定成長外，揚智在新產品智能家電、AIOT等，今年貢獻營收比重也可望拉升至1成，其中看好的產品有同頻器、掃地機、智能語音家電等三項；同頻器自去年第三季出貨，至今累計出貨超過一百萬顆，主要是搭配遠距離影音，今年成長力道也相當不錯；掃地機則供貨亞洲一線供應商，但放量腳步會比較慢；至於智能語音家電，本月量產出貨，應用在非中文的風扇，揚智也是目前市場上唯一能提供非華語離線語音控制晶片的廠商，目前正銷往亞洲國家。
"生華科COVID-19新藥報佳音 強勢跳空漲停","（中央社記者韓婷婷台北2021年3月15日電）生華科 (6492) 新藥Silmitasertib（CX-4945）在美國進行COVID-19重症患者二期人體臨床試驗，首批數據獲美審查通過可持續進行收案，目標第2季完成臨床試驗，好消息激勵生華科股價強勢跳空漲停。生華科今天受到消息激勵，早盤以170.5元漲停價跳空開出，截至上午10時15分，漲停及市價委買張數高掛逾2600張，成交量僅447張。生華科14日公告在美國Banner Health醫療機構進行中的COVID-19二期重症人體臨床試驗，首批收治病患的臨床數據結果，已經獲得外部獨立臨床數據監查委員會（Data Monitoring Committee，DMC）委員一致通過完成審查，在毋須修改任何臨床試驗設計下，可持續進行新冠肺炎重症患者收案。生華科表示，此臨床試驗目標在下一季完成，如有顯著療效改善的數據分析結果，將有利加速國際授權的發生。合一生技 (4743) 旗下2款新藥也傳出好消息，自主研發Anti-IL6全人單株抗體新藥FB704A，獲美國食品藥品監督管理局（FDA）核准治療嚴重氣喘二期臨床試驗。糖尿病足部傷口潰瘍新藥（DFU）ON101在大陸申請藥證則獲得新進展，中國國家藥品監督管理局藥品審評中心（CDE）正式受理產品註冊申請（NDA）。合一在好消息激勵下，早盤以漲停價287元跳空開出，一舉突破半年線反壓268.8元，站上所有均線之上，不過在開高後賣壓隨即出籠，股價漲幅受到壓縮。合一股價上漲帶動中天 (4128) 一併開高震盪，漲幅維持在3%之上。"
"《電子通路》高股息+營運旺 聯強跳空漲停",【時報記者沈培華台北報導】聯強（2347）去年獲利攀高，EPS達4.89元，擬每股配發3.3元現金股利，以12日收盤價49.9元計算，殖利率約6.6%。今股價開盤攻漲停54.8元，股息殖利率仍有約6%。聯強今年業績持續看旺，2021年1-2月營收537億元，年增率達30%，創歷年同期次高紀錄。聯強於12日董事會通過2020年合併財報，全年營收3343.46億元，年減1.66%，毛利率4.5%，略優於2019年4.33%，營業利益72.34億元，年增20%，並且在業外挹注，稅後淨利85.38億元，EPS達4.89元，董事會也決議每股配發3.3元現金股利，維持高股利。聯強2021年1-2月營收537億元，年增達30%，創歷年同期次高紀錄。受惠於疫後消費型態，目前市場對於電子產品維持熱絡需求，法人預期聯強第一季營收有望創同期新高，全年有機會拚雙位數成長動能。聯強1、2月延續去年第四季的走勢，公司指出，宅經濟、遠距工作/教學等防疫相關的市場需求仍然相當暢旺，帶動電競/遊戲機、平板、視訊、雲端等產品持續大幅成長。通訊產品因5G手機換機潮，成長21%。IC元件也因工廠過年不停工、積極備貨生產，大幅成長71%，並創同期歷史新高。法人推估，今年聯強營收挑戰新高，有望繳出雙位數成長佳績，且因產品組合優化、費用控管得宜，全年獲利表現也將優於去年。
"面板驅動IC漲價效益發酵 天鈺敦泰衝漲停","（中央社記者張建中新竹2021年3月15日電）面板驅動IC漲價效益發酵，天鈺 (4961) 與敦泰 (3545) 獲利激增，吸引市場買盤積極湧入，兩公司今天股價同登漲停，天鈺股價創歷史新高，敦泰也創13多年來新高。晶圓代工產能嚴重吃緊，漲價消息頻傳，晶片廠紛紛調漲產品售價，因應成本增加。受惠漲價效益，天鈺與敦泰不僅客戶需求進一步升溫，營收與獲利也都高度成長。天鈺1月營收新台幣13.92億元，年增102.22%，每股純益1.3元，年增1266.96%。敦泰1月13.58億元，年增61%，每股純益1.08元，年增1837%。天鈺與敦泰今天在市場買盤積極湧入下，股價同步強攻漲停，分別達233.5元及135元。天鈺股價創歷史新高，敦泰為13多年來新高。"
"《半導體》漲價題材+今年更好 敦泰連拉4根漲停","【時報記者王逸芯台北報導】敦泰(3545)儘管首季較為保守謹慎，但市場傳出面板驅動IC第二季可望再度喊漲，敦泰2021年營運預計仍將更勝2020年，除IDC領域穩定成長外，也看好車用市場將扮演新一股成長動能，敦泰(3545)近期股價剽悍，已經連續拉出4根漲停板，衝上148.5元。以產業角度來看，客戶仍有搶貨的情況，第一季晶圓代工產能吃緊，敦泰有做貨源預先調整，預估首季營收仍會相較去年第四季下滑，雖然因為生產成本增加，但敦泰產品售價預調已完成，故2021年出貨依舊優於2020年，且敦泰2021年的晶圓代工產能不會少於2020年，且車用電子造成的排擠效應對於敦泰影響不大，只是敦泰表示，因為下游客戶反應可能有double booking(重複下單)的狀況，所以敦泰對於首季出貨維持較為謹慎的看法。現階段面板驅動IC供給緊張，傳出有廠商預計在第二季再度調漲報價，藉此敦泰將有望受惠於這波趨勢，順勢搭上漲價潮。敦泰2月合併營業收入為14.68億元，受惠於客戶對IDC需求熱絡，加上價格持續正向發展，使得敦泰業績表現不受傳統淡季影響，營收月增加8.07%，亦較去年同期大增60.84%。敦泰IDC已佈局很久，預期in-cell面板將在車用市場複製智慧型手機的模式，滲透率逐年提升，成功打入車廠供應鏈，第一季開始進入MP階段，對於目前車用市場樂觀，有機會扮演敦泰快速成長的新市場領域。敦泰今年在IDC部分，AMOLED觸控產品獲得更多客戶青睞，出貨放量可期；電容式指紋方面受惠一站式銷售的策略，今年市占率可望有斬獲，敦泰目前手機品牌客戶有小米、Transsion、OPPO和vivo。另外，敦泰去年與指紋辨識IC大廠神盾(6462)雙邊宣布結盟，合作開發整合觸控、驅動、指紋辨識的三合一產品，但進度正在減緩，主要是因為缺貨所致，LCD面板目前供應短缺，當時要開發是因為怕LCD被OLED取代，想利用LCD剩餘產能，但目前看不到LCD產能有剩，甚至有短缺現象。"
"《光電股》殖利率逾8% 中光電漲停",【時報記者莊丙農台北報導】中光電(5371)公布了去年股利政策，每股配發4元現金股息，現金殖利率達8.14％，帶動股價今天攻上漲停。中光電累計前2月合併營收為61.61億元，年增19％，呈現淡季不淡。今年第1季由於缺工問題不大，且春節假期產線配合客戶需求加班因應，節能產品第1季出貨量可望較上季持平。展望2021年，公司預估整體節能產品出貨量年增1到2成，成長主要來自於TV/PID需求增加，與NB新客戶挹注。中光電越南廠已1月正式出貨，而吳江亦進行TV/NB產線擴產。2020年影像產品出貨量約78萬台，年減18％，第1季受到缺料、航班不穩以及淡季等因素，預估單季整體出貨量季減約1成左右。今年影像產品整體營運發展仍受到肺炎疫情影響，宅經濟以及固態光源取代傳統燈泡趨勢仍將為家庭劇院、4K、SSI等機種帶來成長機會，預估影像產品2021年出貨量年增1到2成。
"《熱門族群》中菲行天價漲停 貨攬三劍客飆風",【時報記者莊丙農台北報導】中菲行(5609)2020年財報亮麗，跳空漲停開出，股價創史上新高，基本面同樣強勁的台驊投控(2636)、捷迅(2643)股價跟進上揚。其中，台驊投控盤中突破本周一的歷史新高價，目前漲幅逾3％；捷迅是目前尚未公布財報的貨攬業者，據了解本周有機會通過財報，以前3季每股盈餘5.06元來看，創高可期。中菲行財報及分派股利都創下歷史新高，去年每股盈餘8.62元，每股擬將分配現金股利5.2元，股票股利0.8元，合計每股分配股利6元。今天追價買盤踴躍，跳空漲停後，已經突破去年9月1日的73.8元歷史新高價位，漲停委買張數超過7000多張。台驊投控去年合併營收151.6億元，年增34.66％，每股盈餘4.72元，年增119.53％，營收及每股獲利都創下歷史新高，股價本周一寫下50.7元的史上新高，今天亦來到51.3元，再刷新高，由於上半年海運持續看漲，對台驊基本面是正面訊息，股價續創高機會大。捷迅預計本周會公布財報，去年前3季每股盈餘5.06元，去年第4季航空旺季，且海運一櫃難求，2020年全年每股盈餘法人估計上看7元以上，上一年度股利發放2元，配息較為保守，去年每股大賺有機會回到過往高配息表現。
"《半導體》IoT、AI敲邊鼓 愛普飆漲停","【時報記者王逸芯台北報導】愛普(6531)去年營運大變身，全年轉虧為盈，每股大賺11元，愛普今年營運持續看好AI、IoT，今股價反映題材，開高走高，衝上漲停鎖住。愛普去年第四季單季營收10.1億元，季增加22%、年減少1%，單季毛利率39%，營業利益2.53億元，季增加73、年增加430%，單季稅後淨利5.7億元，季增加358%、年增加945%，單季每股獲利為7.79元，若排除處分力晶日本子公司利益4.28億元，則稅後淨利2.3億元，每股獲利為3.1元。愛普成立初期主要是做2G手機RSRAM，當時有市場領先地位、高毛利但市場集中，為了擴大市場規模而併購力積日本(Zental Japan)，打標準型DRAM市場，但標準化產品業務拉低公司毛利率，同時沖淡客製化能力優勢，故在兩年前轉型，淡出標準化產品，發展高毛利產品及IP業務，重新劃分事業群為AI事業部和IoT事業部，分別打雲計算市場和邊緣運算市場。愛普過去兩年IoT成長近4倍，反應IoT軟體長期成長趨勢，上半年也看到IoT暢旺，下半年依舊需求強勁，但依舊有不確定性來自對半導體產業極度緊缺的擔心，可能會造成供應鏈資訊混亂、斷鏈的風險，愛普自己產能需求大至滿足，但客戶自己的供應鏈可能會影響對公司的訂單，至於AI相關，期待VHM可以在下半年量產。面對晶圓產能緊張，愛普跟晶圓廠做長期策略性合作，盡量縮短供應鏈，以KGD供應為主，並沒有封裝。"
"《台北股市》權王轉填息、華碩飆漲停 快攻16300關","【時報-台北電】美股四大指數昨夜整齊收高，道指再寫新頁，帶動日韓股市今早雙雙走揚。台股昨在權王貼息、台指期壓低結算、外資擴大賣超之下，失守5日線，今日跟上美股多頭腳步，早盤三大期指聯袂開高，4月台指期開盤上漲97點、為16255點，隨後大盤開高48.79點、為16264.61點。台塑(1301)配息2.4元，為六年低點，股價開低100.5元；台積電(2330)走回填息路，開高至606元；大立光(3008)開高為3355元、鴻海(2317)開高報128元，華碩(2357)跳空漲停、衝上358元，宏碁(2353)開高至28.1元、漲逾3%。在權王重返填息路，電子重兵各挾題材助攻下，大盤漲點迅速拉升至百餘點，一舉收復5日線、16300關。聯準會宣布利率維持不變且不急於提早升息，美債殖利率、恐慌指數VIX聞訊下滑，激勵美股四大指數全面收高，終場道指漲189.42點，或0.58%，收33,015.37點，再寫新紀錄；標普500指數漲12.00點，或0.30%，收3,974.71點；那指漲53.63點，或0.40%，收13,525.20點；費半指數漲37.60點，或1.22%，收3,107.92點。個股方面，蘋果跌0.65%、特斯拉漲3.68%、波音漲3.3%、開拓重工漲3.17%、美光漲3.64%；台積電ADR跌0.12%、日月光ADR漲0.80%、聯電ADR跌0.92%、中華電信ADR跌0.41%。周三台股在權王台積電貼息、台指期壓低結算之下，大盤收跌97.34點、為16215.82點，5日線告失，成交值增至3112.25億元。籌碼面，外資連3賣、並擴大賣超129.4265億元，投信連13買、買超5.072億元，自營商賣超10.7123億元，三大法人賣超135.06億元；八大公股行庫轉買超34.8億元，為3月9日以最多。分析師指出，近三日台幣表現偏弱，台股恐向下整理，不過聯準會立場較市場預期樂觀，若主力權值股轉強，台股可望重返五日線上，選股可留意高殖利率概念股波段操作。(編輯整理：李慧蘭)"
"《大陸金融》樂視轉戰老三板 飆15個漲停","【時報-台北電】因創辦人賈躍亭跑路美國、2020年7月慘澹在深交所退市的樂視網，近日妖風再起。「樂視網3」自2021年2月初轉戰到老三板交易後，竟然連拉出15個漲停，從退市時市值僅剩人民幣（下同）7億元，至18日已翻漲到13.56億元。在賈躍亭仍未回國處理爛攤子、樂視也未有經營利多消息下，此番異樣飆漲引起外界重視。樂視也趕緊公告，稱交易異常波動來自於少數投資者的交易，籲市場冷靜。受累於賈躍亭版圖擴張太快，財務困窘的樂視網於2020年7月21日被深交所正式摘牌，結束了近10年的上市旅程。當時，樂視網的收盤價定格在0.18元，對照曾高達1,600億的市值，最終退市市值僅剩7.18億元，無數股民血本無歸。2021年2月3日起，「樂視網3」以集合競價的方式在老三板進行股份轉讓。老三板指的是從主板市場終止上市後退下來的「退市股」交易平台。按轉板交易規則，樂視網在老三板交易時間為星期一、星期三、星期五，以集合競價方式進行集中配對成交。且股份轉讓價格的漲跌幅限制為5％。樂視2月3日開盤價格為0.18元，2月5日上漲0.01元，拉出第一個漲停，但因股價極低，成交金額不到10萬。不過樂視此後每個交易日上漲0.01元，由2月初至3月17日，樂視的股價竟也飆出了15個漲停，最新市值超過13.5億元。對於連續漲停，樂視董事會17日澄清，未出現任何影響股價的資訊，該公司也沒有應披露而未披露的商談、協定等，股價異常波動是投資人在平台自主交易所致。主辦券商也公告風險提示，提醒投資者應審慎決策、理性投資、注意風險。報導分析，樂視異常漲停，可能與近期賈躍亭創辦的電動車廠「法拉第未來」（FF）屢傳利多消息有關。1月底時，FF宣布和大陸車廠吉利合作；近日更宣布FF 91車款擬於2022年上半年量產交付。但不論何者，FF和樂視網經營無關，賈躍亭也從未表態要解決樂視問題。(新聞來源：工商時報─黃欣／綜合報導)"
"《熱門族群》獲利看俏 榮科領建榮同飆漲停",【時報記者張漢綺台北報導】高頻高速、車用電子及消費性產品需求暢旺，讓銅箔陷入嚴重供不應求，代工費漲勢難止，玻纖中低階產品需求亦強勁，市場預期金居(8358)及榮科(4989)今年獲利可望遠優於去年，榮科股價逆勢漲停，創下2018年8月15日以來新高，建榮(534)因整理已久，亦同步漲停。新冠肺炎疫情加速新科技新應用普及，且自2018年下半年停滯兩年的全球車市自去年下半年復甦，ADAS往中低階車款滲透，帶動車用電子需求高度成長，加上NB及消費性產品需求暢旺，讓PCB上游材料-銅箔及玻纖自去年第4季開始供不應求，尤其是銅箔，在銅價飆漲及高頻高速銅箔可供應廠商有限下呈現嚴重供不應求，目前只能排單生產，近期報價更是連番上漲，銅箔基板廠普遍預估，銅箔缺貨問題今年可能無法紓解。受惠於銅箔加工費連番上漲，金居及榮科今年前2月合併營收表現不俗，金居前2月合併營收為11.81億元，年成長21.98%，榮科前2月合併營收為5.76億元，年成長23.47%。儘管相較於銅箔，玻纖產業供給吃緊程度已較之前緩解，但紓解是因高階產品終端客戶受到上游IC材料缺料影響拉貨延後，目前中低階玻纖布需求相當穩定，亦處於供給偏緊。據業界表示，由於5G真正的需求還沒有開始，且汽車電子相關應用日益廣泛，隨著新冠肺炎疫情趨緩，相關需求可望顯現，玻纖布產業可望進入新的成長循環期。建榮去年前3季稅後盈餘為8227萬元，每股盈餘為0.42元，今年前2月合併營收為2.34億元，年成長4.98%。
"陽明1月EPS衝2.32元 股價帶量攻漲停","（中央社記者蔡芃敏台北2021年3月22日電）陽明 (2609) 1月稅後純益新台幣74.8億元，每股盈餘（EPS）上衝2.32元。航運族群今天表現強勁，陽明帶量上漲，高點至35.85元，攻上漲停價。航運族群今天逆勢走高，陽明1月營收達204.46億元，較去年同期成長44.47%，單月稅後純益74.8億元，年增2976.92%，EPS 2.32元，年增高達2178.67%。由於陽明2月營收續創新高，市場認為2月稅後純益表現可期。受惠1月財報靚，陽明今天帶量上攻，早盤開高觸及35.85元，站上漲停價，為上市排行交易亞軍。長榮 (2603) 跳空開高，早盤高點至45.8元，有9%以上漲勢，市場買盤追捧，為上市排行交易冠軍；萬海 (2615) 攀至54.5元，攻上漲停。多家貨攬業者看好海運至少旺到今年第3季，運價有望續居高檔。貨櫃三雄將在本週起陸續召開法說會，萬海將在明天打頭陣，陽明法說會29日登場，長榮壓軸在4月1日召開，屆時各公司經營團隊將進一步說明海運市場展望。宏遠投顧副總經理陳國清認為，電子股目前陷入修正，貨櫃航運股今年獲利大爆發，三雄今年EPS有可能會超過15元至20元以上，有望擔當護國艦隊，推升台股大盤指數。"
"面板供不應求廠商徵才 友達盤中大漲群創漲停","（中央社記者潘智義台北2021年3月22日電）台股今天跌深反彈，因疫情帶動全球在家上班上課新型態，面板供不應求，面板雙虎大漲，友達 (2409) 盤中來到新台幣20.2元，大漲約5.5%，群創 (3481) 更奔上18.85元漲停板。疫情改變全球消費及生活型態，新常態帶動遠距離商機，使面板供不應求，面板價格維持漲勢。群創日前法說會更推測今年面板可能都供不應求。受惠疫情衍生出宅經濟需求持續暢旺，面板廠群創光電公布去年第4季稅後淨利新台幣101億元，為2017年第2季以來最佳表現，基本每股盈餘1.04元。去年合併營收2699億元，稅後淨利16億元，基本每股盈餘0.17元。友達光電統計，去年第4季合併營收為805.4億元，較去年第3季增加10.0%。去年第4季歸屬母公司業主淨利為84.4億元，基本每股盈餘為0.89元。去年全年合併營收2709.6億元，年增0.8%。全年歸屬於母公司業主淨利為33.8億元，基本每股盈餘0.36元。"
"《大陸股市》高檔震盪 碳中和掀漲停潮",【時報-台北電】下午開盤陸股維持高檔震盪。碳中和概念午後持續走高，個股掀起漲停潮，德固特、深圳能源等15股漲停；南大環境漲超15%，南開爾新材、南華儀器、先河環保等拉升跟漲。醫美概念上揚，朗姿股份漲超8%，開能健康、景峰醫藥、魯商發展、蘇寧環球等跟漲。傳媒板塊拉升，中視傳媒漲停，光一科技、人民網漲4%。盤中，滬指報3438.01點，漲0.98%；深成指報13728.33點，漲0.90%；創業板報2692.07點，漲0.77%。（編輯整理：張嘉倚）
"法說會前外資卡位 貨櫃三雄揚帆收漲停","（中央社記者蔡芃敏台北2021年03月22日電）貨櫃三雄明天起將陸續召開法說會，由萬海打頭陣，外資近期積極卡位，帶動股價表現凌厲，長榮 (2603) 、陽明 (2609) 與萬海 (2615) 今天終場全數收漲停。萬海今天公告去年度財報，全年營收新台幣818.8億元，稅後純益113.17億元，每股盈餘（EPS）5.1元，為1996年上市以來新高。台股今天終場上漲118.98點，傳產族群助攻，航運類股上漲5.95%，貨櫃三雄全數收在漲停價，陽明以35.85元作收，為2004年4月以來新高，交易量衝上25.8萬張；長榮以45.85元作收，萬海收54.5元，為今年以來新高。貨櫃三雄明天起將陸續召開法說會，由萬海打頭陣，外資近期積極卡位，觀察外資今天動向，買超長榮7萬1311張，為買超第2，買超陽明1萬4826張、買超排名第8，買超萬海5390張，排名15。散裝航運則受惠經濟復甦，回補需求強勁，BDI指數19日上漲2.98%，來到2281點。裕民 (2606) 盤中高點站上40.2元，終場收在39元整數關卡，上漲3.45%；四維航 (5608) 、台航 (2617) 均以漲停作收，分別收在18.75元與25.4元。華航 (2610) 去年成功轉虧為盈，稅後淨利1.4億元，每股盈餘（EPS）0.03元，航空今年仍將持續衝刺貨運，以全貨機搭配客機腹艙載貨，機動調節運能；由於各國已經陸續施打疫苗，邊境有望逐步鬆綁，也將配合旅遊泡泡，機動調整客運班次。華航今天盤中一度站上16元大關，終場收漲5.35%，收在15.75元，為2015年5月以來新高價；長榮航 (2618) 漲1.25%，收在16.2元。"
"《營建股》高殖利率誘人 皇翔飆出漲停","【時報-台北電】去年房市大旺，上市房地產個股EPS表現大洗牌。皇翔（2545）去年大賺半個股本、EPS達5.33元，創下三年最高紀錄，股利高達4.5元，22日股價跳空漲停41.55元至終場；國建（2501）去年EPS達1.28元，為四年次高，股價也開紅盤。另外，房地產「代銷天王」海悅國際（2348）去年大賺1.5個股本，也大手筆發放股利8元（配息7元、配股1元），但22日股價不但沒「慶祝行情」，還被摜殺到跌停106元。至於潤隆（1808）去年EPS為0.32元，創16年來最低；興富發（2542）去年每股賺2.11元，近三年「連三降」，股價也疲弱回應。皇翔在「皇翔PARK」先建後售順銷、捷運中山站辦公案「皇翔中山」去化順利的貢獻之下，去年營收達到64.56億元，年增1.02倍，EPS高達5.33元，雙雙創下三年最高紀錄；股利也大手筆配發現金4.5元，也是近三年最大手筆。依22日漲停價41.55元計算，現金殖利率高達10.83％，相當的誘人。皇翔副總游玉華表示，今年「皇翔PARK」還有近五成持續銷售入帳，另總銷約30多億的民生東路「皇翔新天地」，已完工多年，目前坪數改為30~40坪的產品，今年將重啟銷售，加上忠孝東路日本「格拉斯麗飯店」（Hotel Gracery）年初已取得使照，將出租給日本藤田觀光集團，預計7月開幕，全年業績希望有好表現。（新聞來源：工商時報─記者蔡惠芳／台北報導）"
"《大陸股市》光刻膠接棒領漲 大掀漲停潮",【時報-台北電】23日早盤A股三大股指震盪走弱，半日跌幅均超1%。光刻膠概念早盤大幅拉升掀漲停潮，晶瑞股份、江化微、格林達等多股大漲，廣信材料、南大光電等多股跟漲。受電子煙納入監管消息刺激，煙草概念23日盤中大幅拉升，樂通股份、金時科技、永吉股份、陝西金葉等大漲，華寶股份、京華激光跟漲。計算機、數字貨幣等板塊漲幅居前，休閒服務、電子煙、稀土永磁板塊表現頹靡。午間收盤，上證指數報3402.56點，下跌1.19%，成交額2107.47億元；深證成指報13567.16點，下跌1.41%，成交額2866.94億元，兩市合計成交額4974.41億元；創業板指報2655.58點，下跌1.58%，成交額1012.31億元。（編輯整理：張嘉倚）
"《熱門族群》利奇漲停 自行車族群逆揚","【時報-台北電】自行車族群受惠外銷市場買氣夯，無論整車大廠的巨大（9921）、美利達（9914），或是零組件廠的桂盟（5306）、利奇（1517），今年前2月營收均大幅成長，預期首季營收表現亮眼，且在手訂單都已看到年底、甚至看到明年第一季，後市前景持續看旺！今日早盤，包括巨大、美利達、利奇、日馳（1526）等個股的股價紛紛上漲，其中，美利達股價一度漲到315.5元、漲幅逾3%。此外，利奇去年稅後盈餘1.69億元、年增12.63倍，EPS達0.76元，高於2019年的0.06元，每股配發現息0.35元。今日早盤爆量大漲、股價最高衝上16.75元，高鎖漲停，成功寫下前一波的16.55元高點，目前成交量逼近3.5萬張。利奇去年第四季業績搶眼，不僅完勝去年前三季營運績效，也優於2019年度，去年第四季合併營收10.92億元、稅後盈餘1.33億元，占去年全年稅後盈餘比重逾78.65％，單季EPS達0.6元。此外，日馳去年稅後淨利1.78億元，EPS達2.97元，每股配息1.8元。今日早盤股價最高來到45元、上漲約1%。（新聞來源：工商即時 曾麗芳）"
"《營建股》高股利加持 亞銳士觸及漲停","【時報-台北電】大城營建機構旗下的亞銳士（6171），去年受惠台中房市買氣噴發，營收達12.24億元、激增近千倍，EPS達3.08元的歷史新高！24日董事會決議通過每股擬配發2.5元高股利案，內含1元現金股利與1.5元股票股利，股利同樣創歷史新高！亞銳士在高股利加持下，今日早盤一開盤、隨即爆量衝上漲停27.15元，股價上漲2.45元，成交量破2,500張。目前漲停打開，漲幅仍逾5％。亞銳士在台中新成屋交屋加持下，今年前2月營收8.61億元，年增幅逾26倍。（新聞來源：工商即時 曾麗芳）"
"《汽車股》中華車再漲停 裕日車股利引期待",【時報記者沈培華台北報導】裕隆(2201)集團中華(2204)去年度擬超額配發每股現金股利7元，股價連續第二天漲停，達65.1元；裕日車(2227)尚未公布股利，市場也看好去年股利至少維持九成的配發率甚至更高，股價也再攀高。中華車去年受惠中國轉投資車廠貢獻增加，以及減資效益顯現，稅後淨利32.77億元，較2019年由虧轉盈，EPS達6.01元，中華車擬超額配發每股現金股利7元。以今日漲停價計，現金殖利率仍達10.75%。隨著去年第二季起，中國大陸車市迅速走出疫情陰霾，裕日車去年認列大陸轉投資公司貢獻獲利約72.84億元，推升全年EPS為21.8元，再度賺超過2個股本。依過去5年來現金股利發放率均超過9成估計，裕日車今年可望配發每股現金股息至少19.6元。今股價攀升至285元，仍有近6.9%的現金殖利率。裕日車過往曾有兩度超額配息；市場也關注本次是否能夠再度超額配息。展望今年台灣車市估仍在高檔，大陸車市看增，有利裕隆集團業績比去年成長，裕隆可望受惠轉投資的中華車、裕日車今年業績看增，加上股利可期，裕隆今年獲利也將比去年更好。以裕隆資訊顯示，持有裕日車約50%股權，約1.5億股、持有中華約8.8%股份，約4900萬股計算，裕隆今年可望認列此兩家子公司股利逾30億元，挹注獲利。
"《半導體》IoT、AI助攻奏效 愛普飆漲停","【時報記者王逸芯台北報導】愛普(6531)轉型有成，去年每股賺11元，展望今年，IoT、AI事業部，分別打雲計算市場和邊緣運算市場，成長趨勢確立，今股價開高走高，攻上漲停價872元。愛普去年第四季營收10.1億、季增加22%、年減少1%，單季毛利率39%，營業利益2.53億、季增加73%、年增加達430%，單季稅後淨利5.7億，季增加358%、年增加945%，單季每股獲利為7.79元，若排除處分力晶日本子公司利益4.28億元，則稅後淨利2.3億、每股獲利為3.1元。愛普2020年營收35.4億、年增加4%，毛利率29%受惠營運策略調整和客製化記憶體產品增加，費用率維持在14%，營業利益為5.1億，順利由虧轉盈，歸母稅後淨利8.1億，每股獲利為11元。愛普有鑑於標準化產品業務拉低毛利利、沖淡客製化能力優勢，目前是主要是在做原來力晶做的業務，還沒有完全退出，但會逐漸淡出，現在營收佔比小於5%，愛普在近兩年積極轉型，淡出標準化產品，發展高毛利產品及IP業務，重新劃分事業群為AI事業部和IoT事業部，分別打雲計算市場和邊緣運算市場。愛普IoT RAM具有高毛利、市場快速成長、規格客製化，以及產品週期長的優勢，愛普過去兩年成長近4倍，反應IoT軟體長期成長趨勢。至於AI事業，初期是收NRE/IP授權金，量產後收取IP使用費，提供給客戶DRAM介面、設計IP、設計流程，提供客戶高速DRAM的設計以及使用方法，AI事業部目前占營收約10%，長期來看IP授權金會隨客戶出貨量成長。愛普目前看到IoT上半年需求強勁，下半年審慎樂觀，有不確定性來自對半導體產業極度緊缺，可能會造成供應鏈資訊混亂、斷鏈的風險；至於AI，則預期下半年VHM(Versatile Heterogeneous Memory)至少有一個客戶會進入量產，成效開始浮現。面對晶圓產能緊張，愛普則是跟晶圓廠做長期策略性合作，盡量縮短供應鏈，以KGD供應為主，沒有封裝，另外，愛普晶圓合作廠是同一個，標準型產品漲價時面對供給壓力，成本上壓力會反映在產品價格上，基本上是反映成本為主。"
